,full_text_with_emoji,label
0,අනේ හුකන්න කියපන් උන්ට,1
1,"IamHisAnchor පාහර බැල්ලි එනෝ මෙතන මට වැඩ කියාදෙන්න
හෙළුවෙන්මවනමු",1
2,ඉස්සෝ කියන්නෙ කොච්චර උෂ්ණ වුනත් කොහොම හැදුවත් රස කෑමක් නම මතක් වෙනකොටත් කටට කෙල උනනවා නේද  හැමදාම එකම විදිහට හදන ඉස්සෝ කරිය අද ටිකක් වෙනස් රසයකට පිළියෙල කරන ආකාරය අම්‍මට නංගි අද කියල දුන්නා මැටි හට්ටියේ හැදෙන ඉස්සෝ කරිය බත් එක්ක විතරක් නෙවේ පාන් ඉදි ආප්ප එක්ක හොදට ගැලපෙනවා httpstcou0gMODMm0S,0
3,Lokuma bitch thamai Dhanya :weary face::weary face: මහ බැල්ලි :dog face::dog:,1
4,IsuriUdeshika වේසි වේසි,1
5,DeVDaZ තෝනේ වේසි :beaming face with smiling eyes:,1
6,"ලංකාවේ දී බල්ලෙක් හදන්න ගියාම ඒ බල්ලට බර්ත් සර්ටිෆිකේට් තියෙනවද අම්මා තාත්තා ඉම්පෝටට්ද බ්ලඩ් ගෘප් එක හොදද අනං මනං සේරම බලනවා 
ලංකාවේ මනුස්සයෙක් කසාද බඳින්න ගියාම ඒකට බලන්නෙ හඳහන :folded hands::face with tears of joy::broken heart:",0
7,කැම්පස් එක වහනවා අද ගෙදර එනවා:victory hand::drooling face:,0
8,"ට්විටරයේ
බුද්ධ ධර්මය හැකි පමණින් විකෘති කර ට්විට් කිරිම සා වෑව් එයා නියමයි තර්ක කරනව නියමෙට වන අතර
වෙනත් ආගමක් ගැන ප්‍රශ්න කරන බෞද්ධයින්  නොදකින් මෙච්චර සංවේදී දෙයක් වෙන ආගම් ගැන ප්‍රශ්න කරල ජාතිවාදෙ අවුස්සන හැත්ත බවට පත් වේ
:slightly smiling face::slightly smiling face::slightly smiling face:",0
9,kazZtr අනේද කියන්නේ ඔය වගේ කතා පුදුම විදියට අහගන්නෙ මාත්  ඒ රට වල මැච්රේස් ඔය වෙලාවට තියෙන එක අපේ වැරද්දක් නෙවෙයිනෙ නේද අයියේ :pleading face::pleading face:,0
10,The painting is based on powerful humanitarian behavior of many SL soldiers  see the exampleඅපේ රණවරුවන්ගේ අනුකම්පාව කරුණාව කැපවීම සැමදා හිස නමා ගෞරව කරමුDJSlash9 httpstco6wIeYtwcUy,0
11,Rasthiyaduwa ඕකෙ තව තියෙනවා ලෝ ඔෆ් ඇට්රෑක්සන් කියලා මම හිතන්නේ ග්‍රන්ථයක් වෙන්නැති අල්ටිමේට් ගෝල් එක ලංකාවේ සෘෂිවරයො ගත්ත ජාතියෙ සුපිරි කාර් ගැනීම :rolling on the floor laughing:,0
12,"විල්පත්තුවට කෑගහපු අය අනිත් ඒවට කෑගහන්නෙ නැද්ද කියලා වැඩියෙන්ම අහන්නෙ බදුර්දීන් තමන්ගෙ ජාතියෙ නිසා defend කරපු අය

එළියට බැහලා බැලුවොත් ප්‍රධාන රූපවාහිනී නාලිකා ඇතුළුව හැමෝම වගේ අද පරිසර විනාශ වළක්වන්න කතා කරනවා

ඒවගේම අලියට තියෙන සත්ව කරුණාව හරක ගැන නෑ කියලත් දැනුවත් වුණා :squinting face with tongue:",0
13,"ආචාරියා දේවෝ භව෴
ගුරුවරයා  දෙවියෙකු ලෙස සලකන්න෴ httpstcoHPL8rq0hxT",0
14,deadmanscreed අඩෝ යක්ස කැරියා ස්තූතියි ඩෝ :red heart:,0
15,MangalaLK අමතක නෑ සමනල පොන්නයො කිපු කතා httpstco4JDlEwkUvM,1
16,LahiruShalith හීන ආවා සල්ලි නාවෙ සතුට කැරියා නිසා,1
17,සමනල රක්ෂිතයේ ඉන්න සත්තු තමා අපේ ලොකුම  බාධකය උනේ කොහොමහරි කැලේට ඇතුල් වෙන තැන කොල අත්තක් ගහලා බුදුහාමුදුරුවොන්ටයි සමන්දෙයියොන්ටයි කැලේට අරක්ගත්තු දෙවියොන්ටයි බාරයක් වෙලා අවසර අරගෙන තමා අපි කැලේට ඇතුලු උනේ අපිට දෙවියන්ව ලොකූවට ඇදහුවේ  නැති උනාට ඒ ඒ පලාත් වල ආචාර විධි,0
18,anushaka හැමදාම වගේම නියමයි,0
19,JonasKOLLA අඩෝ පනුවා,0
20,"යෝෂිත එක්ක පොටෝ එකේ ඉන්න පොඩි එකාගෙ පයිය බලන්නකො ලොකු  පොඩියට හිටියට දාර පයියක් වගේ නේද
ගලක් කපන්න කියාපු මල්ලියා httpstcoy3crXY5zG1",1
21,"නොමල ගේකින් අබ හොයන්න බෑ වගේ නියමපිරිමි නියමගැහැනු හොයන්නත් බෑ අම්මා තමා අදහන එකම ගැහැනිය  හැබැයි නියම කියන එක අම්මටවත් කියන්න බෑ මොකද ඒ කාගේ අතින් වුනත් දැනුවත්ව වෙන වැරදි තියනවා හිත් වල විවිධාකාර සිතුවිලි ඒ කොයි කාටත් තියනවා කෙනෙක්ට ඒකී නම් නියමයි  

Cont:backhand index pointing down:",0
22,thimiraonline Nimezzz වේසි :unamused face::face with tears of joy:,1
23,GangaDissanaya2 MangalaLK අනේ වේසියේ තොගෙ කිම්බ පළලා ලුණු මිරිස් දාලා වහන්නේ,1
24,jurongbird කැරියා :smiling face with heart-eyes:,1
25,ඉතිං නිදහස් අධ්‍යාපනයෙන් ඇතිවෙන බක්ක මොකද්දැයි අහන නෝනාවරුනි මහත්වරුනි එන්න මල මෙතැන ය මෙතැන නටන්න :folded hands: dark skin tone:,0
26,"Samit Patel bowling 

Dickwella  නියමයි සමියා නියමයි :face with tears of joy::face with tears of joy:

LPL2020",0
27,යකුනේ අද ගෙට ගෙවැදුනා :star-struck: httpstcoJtor1CV1Kl,0
28,"අද පේජ් එකක තිබ්බ කමෙන්ට් එකක් තමා මේ ඒ පේජ් එක කරන එකාට එරෙහිව දාලා තිබ්බේ
තක්කාලි පකයා
ද්විලිංගික සමනල් පොන්නයා
ටකරන් පකයා
තනි ඇටෙ සමනලයා
පයි කොටා
බෝතල් පකයා
සන් කැකර් පොන්නයා
පොටෑටො කැකර් හුකන්නා
නිව්ඩෙල් පකයා
ඩුවල් කැරියා
ලුනුමිරිස් පකා
ලොන්ත පකයා
හෙඩ් ලයිට් පොන්නයා:backhand index pointing down::backhand index pointing down:",1
29,"උගත් මිනිස්සු ඇයි ආගම් විවේචනය කරන්නෙ මේ තරම් :thinking face::thinking face:

උදාහරණයක්  ලංකාවේ හින්දු ආගම අදහන මහඇමති විග්නේෂ්වරන් බුදුදහම ගැන කියන කතා

දවස් දෙකකට පෙර නබි නායකතුමා විවේචනය කර මරණදඩුවම නියම වූ පකිස්ථාන ගුරුවරයා",0
30,AnonymousLK pukasl BasnayakageGopi rasiikalink MalindaOnline LoL :face with tears of joy: thanks for your advice aiyya මා extraterrestrial ජීවිතයක් වන බැවින් අවුලක් නෑ අයියා මට ඕව:relieved face::relieved face::smiling face with smiling eyes: මම අදහස් කලේ  reproduction එක ගැනම නෙවෙයි කෙල්ලො හැඩල් කරන එක ගැන:smiling face::smiling face: කොහොමත් පෘථිවි කෙල්ලන්ට දරාගැනීමට හැකිවේද නම් දන්නැ මොකද හැඟීම වැඩි වත්ම ගැමා පිටවන නිසා :smiling face with smiling eyes::smiling face:,0
31,"වන් ලාස්ට් කොශ්ෂන්

 ඉරාජ් දාපු පෝස්ට් ටික අයින් කරගෙන නේද :relieved face:

මූ හිතන් ඇත්තේ හැම එකා එක්කම හැප්පිලා දිනන්න පුලුවන් කියලා ගොන් කැරියා :face with tears of joy: 

පාඩුවේ පැත්තකට වෙලා උඹේ කැම්පේන් එක කරන් හිටපන් බන් ඉස්සර වගේ",1
32,"උම්ම දෙන්න හැබැයි බැල්ලි හපයි ඈ
View full image  httpstco7lQgg8H4Ay httpstco7lQgg8H4Ay",0
